Generacion,Fitness_Medio,Fitness_Maximo,Mejor_Probabilidades
0,57.85,122,"0.037490343519630084,0.02614314584581478,0.04486576579038103,0.1598841789479247,0.040091333565829335,0.18345067468933998,0.164545296524986,0.04078202666706218,0.1488634164888006,0.15388381796023123"
1,58.35,149,"0.0013332334927715754,0.07581251399315746,0.16552961573523364,0.02788869012879914,0.0834126290618223,0.01915191244965552,0.17032614507985694,0.17468359111323373,0.08264121294369178,0.19922045600177787"
2,57.95,130,"0.1585144406617888,0.00860326397683636,0.07400616429116012,0.09006214618457786,0.1747212643340694,7.502187858328604e-05,0.14976484941112453,0.20177898665822488,0.10334587346569585,0.03912798913793892"
3,60.15,162,"0.0,0.14594160043596555,0.042009340380521086,0.17377119318336565,0.0724194884070966,0.1696855757986669,0.12043545264599735,0.04842147281455422,0.08644962362983952,0.1408662527039931"
4,58.0,105,"0.034530580605066585,0.09085964167460188,0.04564296270989886,0.03753990008009116,0.14263619851860515,0.21834512400326286,0.20348229269826246,0.062306960602584845,0.1583640292199899,0.006292309887636355"
5,58.15,110,"0.0,0.026770613716004588,0.1525472935459815,0.2036748566995672,0.19413905813186308,8.335949778610968e-05,0.11545546169386885,0.17257616201296969,0.12882880655739726,0.005924388144561717"
6,59.5,107,"0.0,0.0,0.11645181190331028,0.19826325568361627,0.17895687680213723,7.684056737034557e-05,0.14868988445326534,0.20667053546277997,0.06040099050085074,0.09048980462666983"
7,57.45,152,"0.0,0.12603177603412355,0.15138157443568154,0.055283270787519545,0.19087609906035666,0.031230826400762995,0.22621212631974383,0.061542065999472345,0.12784433676924054,0.029597924193099055"
8,58.05,146,"0.0035337906637872294,0.08371542691084805,0.11605502318953595,0.03319505628181642,0.11461230062734493,0.12555090325087556,0.13582995647407464,0.156065311179551,0.1591396368106819,0.07230259461148432"
9,58.2,127,"0.0035337906637872294,0.08371542691084805,0.11605502318953595,0.03319505628181642,0.11461230062734493,0.12555090325087556,0.13582995647407464,0.156065311179551,0.1591396368106819,0.07230259461148432"
10,58.75,138,"0.0,0.13318238925312767,0.11278795165185161,0.050898681450719796,0.08982894978363344,0.13631073652819542,0.13200619966833424,0.13799180713265666,0.13672608436018518,0.070267200171296"
11,60.05,156,"0.0,0.062060306104303145,0.09941268459248959,0.07015124077232081,0.11723886637053048,0.10945506692949786,0.1907006492321061,0.13111395778253687,0.1336967674919035,0.08617046072431157"
12,60.4,216,"0.0,0.07139424540473127,0.10059414101506552,0.040224510025627255,0.12825044037466596,0.15889512323796232,0.13689075666741143,0.14402320685495051,0.14686031545368608,0.07286726096589968"
13,60.95,118,"0.0,0.12068970241426995,0.08812498721463026,0.06681811857734672,0.1293483411251867,0.10425448731153861,0.18163981781196825,0.12488429116588735,0.1021640430512972,0.08207621132787507"
14,58.5,108,"0.0041797854334683976,0.06800811923003319,0.11142358940922849,0.07741695664174136,0.15197090603101432,0.1485022420667097,0.13434566417690463,0.12601856348288457,0.08428191193079362,0.09385226159722175"
15,56.8,119,"0.0,0.11540237821566558,0.0864825086909272,0.024230426601641382,0.12693753938677277,0.12204583064666324,0.21516077796416355,0.10356773098589947,0.1339561100449992,0.0722166974632677"
16,57.35,123,"0.0,0.11212875761579096,0.11118522177187354,0.01547364189521591,0.11998761090410899,0.09851827838870271,0.21772057042989826,0.12529309858417279,0.13143004300126135,0.06826277740897542"
17,57.15,109,"0.0,0.11742103493506498,0.11790111858101661,0.016203970187349658,0.125650812078223,0.10316816536985508,0.1793302242596347,0.13120670931167808,0.13763330655680822,0.07148465872036966"
18,54.45,127,"0.0,0.11851931931472644,0.09100032278797714,0.025496215077663163,0.14453885332182145,0.10608364542786028,0.18910382250452168,0.13243393643860205,0.1206706027301175,0.07215328239671036"
19,55.6,115,"0.0,0.0908697144190785,0.12463416943678042,0.015301546318236514,0.10753704168677902,0.12404029186270989,0.19457049258281442,0.14557487756031265,0.1299682973284652,0.06750356880482349"
20,53.65,110,"0.0,0.09482278292509308,0.0865534830588969,0.015967203311115147,0.11221518220300729,0.12943636660965974,0.20303481418155578,0.1519077626962406,0.13562225570430034,0.0704401493101311"
21,55.5,103,"0.0,0.10736404479186783,0.10855184148846297,0.01532653391696134,0.10771265089579875,0.12424285106648669,0.19488822840449124,0.14581260298683096,0.1301805370324174,0.06592070941668286"
22,56.25,125,"0.0,0.09571298789588314,0.09051008163203195,0.01611710487821426,0.14028768673075137,0.13535326013422277,0.18957634071009813,0.15333388668545758,0.14549705006276448,0.03361160127057628"
23,60.95,152,"0.0,0.0991576016846616,0.09376744807797664,0.015878120396760457,0.14533649892157174,0.12871422582292322,0.19639900178872333,0.15106025133495782,0.13486560311122628,0.03482124886119894"
24,57.6,145,"0.0,0.12170536671926445,0.10953692843380443,0.01546561924496599,0.10869012234898315,0.11369125855404763,0.1864529625679561,0.1453502400148633,0.14245589941501666,0.05665160270109833"
25,56.25,104,"0.0,0.14604256037302216,0.09905391597832369,0.01640715349917299,0.10417788875690918,0.12088600198164609,0.16053497538365785,0.13931607406273327,0.1365418910319397,0.07703953893259499"
26,54.65,123,"0.0,0.14025648902797147,0.08970834310535217,0.017371216236320246,0.08152183717340805,0.12063230658802147,0.17244732206613195,0.14750210314427376,0.1442082368338933,0.08635214582462752"
27,55.35,137,"0.03801397403884336,0.12262298011070052,0.10522982232995703,0.015032636066462674,0.12946037899537746,0.125563006916628,0.15135443496553871,0.13963491720168042,0.1203354135716746,0.05275243580313727"
28,58.65,145,"0.0038627089714496207,0.13051513450372115,0.0834777524208952,0.014873170182578796,0.1298036673955639,0.12423103720801856,0.16047018993737358,0.13179368810188144,0.18987292176104592,0.031099729517471884"
29,56.25,169,"0.0,0.13258522025012665,0.1002209181916964,0.029108504889568315,0.10825151102732648,0.1140343740892011,0.1759434650903772,0.10929148516569843,0.2086251699116916,0.021939351384313816"
30,55.15,116,"0.0,0.10142076826937152,0.11753454997693008,0.015090315150553719,0.13169877199355018,0.14820601500470446,0.1593530269356688,0.16010732123534424,0.13440646736137385,0.03218276407250318"
31,56.4,164,"0.0,0.10652109905091758,0.08876886159189745,0.01682006903197515,0.1448536705059946,0.13251853827573665,0.18748936839997335,0.1681589295280229,0.1501406781422656,0.004728785473216715"
32,54.15,116,"0.0,0.0652135585443075,0.09045821835646792,0.017140171113832908,0.14761037509534916,0.13504049344168575,0.21536124947444035,0.17135915559859158,0.15299799956903926,0.004818778806285553"
33,55.3,126,"0.0,0.09423673034481263,0.09312187043837059,0.01619536916274271,0.12237002218457023,0.12759678002525904,0.2034900886008793,0.1445885653465552,0.19384741622043156,0.0045531576763788405"
34,59.05,143,"0.012444877971673938,0.11766078593405438,0.08670981959765482,0.0,0.11226319039988401,0.16930615361649992,0.134861911327933,0.20010673156538977,0.1615220220454475,0.0051245075414627006"
35,56.45,106,"0.012444877971673938,0.11766078593405438,0.08670981959765482,0.0,0.11226319039988401,0.16930615361649992,0.134861911327933,0.20010673156538977,0.1615220220454475,0.0051245075414627006"
36,54.55,118,"0.012374144968599702,0.11825198969850031,0.11617040026915869,0.0,0.09572117516796398,0.14435884041431937,0.13409539613909238,0.19896938412886156,0.174963287856204,0.0050953813573000875"
37,57.25,129,"0.0,0.14458638245639402,0.09581205496065368,0.0,0.1328535735642319,0.12807890058690213,0.14649292283833462,0.18698313354266727,0.1611998759803985,0.003993156070417797"
38,54.85,117,"0.0,0.09016614299182038,0.10499616429519919,0.024030521302617753,0.09982095993339098,0.1340778238893985,0.14003627371204513,0.19574099663989006,0.1755346555278273,0.03559646170781076"
39,55.6,111,"0.012201828940531335,0.11660527283622542,0.0812874853055494,0.0,0.12879660092213094,0.1429370592452253,0.13527077371529675,0.19619863802338947,0.181677915334862,0.005024425676789507"
40,54.8,130,"0.012240267428017844,0.11214741550233069,0.053556149495628244,0.0,0.12387266516831771,0.16796052761025862,0.13264459999244896,0.18869790056839328,0.17473230980963214,0.034148164424972566"
41,53.8,111,"0.012114686460198474,0.1109968212804278,0.08419169192378259,0.0,0.12260177388512612,0.14294990630382842,0.13128371165066846,0.17389476168179746,0.18816883090592465,0.033797815908245966"
42,57.3,175,"0.01240122244964972,0.113622112831804,0.08618298982721677,0.0,0.1255015452249844,0.12596021590871656,0.14669688741800813,0.1780077123357483,0.20617848283654666,0.005448831167325467"
43,57.95,181,"0.012466946817357267,0.14273587598992296,0.09834281484887934,0.0,0.1311532308846677,0.14625761800749273,0.12201245156431798,0.19219242592268135,0.14980797937936613,0.005030656585314562"
44,56.55,123,"0.012062330921888452,0.11051713091882163,0.1035775547269853,0.0,0.13242902572948553,0.14096046980133708,0.13713526900974388,0.19434350273556375,0.16367478665772114,0.005299929498453274"
45,57.75,135,"0.01238033819271843,0.11343076771182974,0.09726299833308896,0.0,0.13592034041183162,0.12682206746913743,0.14075065752086388,0.19946711004734183,0.16898889849757076,0.004976821815617249"
46,56.2,112,"0.019905250655502752,0.09034525332765764,0.06336774456044754,0.0,0.14205958160035412,0.13685903753959433,0.13533830766061725,0.21612368594908346,0.19600113870674288,0.0"
47,55.95,135,"0.0,0.15675546141756602,0.041993083475971846,0.0,0.15123695875383628,0.13588274672869843,0.09726614516290132,0.1920302908070806,0.21927641482730403,0.0055588988266415465"
48,56.55,132,"0.014812329920888212,0.08343496471039342,0.09831289085850999,0.0,0.14291971329746472,0.12296753079054247,0.1495498634133333,0.1814696244404648,0.201279894239971,0.0052531883284321216"
49,55.75,123,"0.0,0.08180643163257632,0.10195741910815616,0.0,0.15966913928975882,0.12752602394278179,0.13715488201019257,0.17792759278687523,0.20874148197518583,0.005217029254473193"
